01a	これは、メキシコの水処理業界で、数々の奇跡を起こした、ある挑戦者の物語です。	これは、メキシコの水処理業界で数々の奇跡を起こした、ある挑戦者の物語です。	La historia de un luchador que logró numerosos milagros en la industria del tratamiento de agua en México.
10b	実際の処理結果を見てもらうことで、少しずつ信頼を積み重ねていきます。	実際の処理結果を見てもらうことで、少しずつ信頼を積み重ねていきます。	Al mostrar resultados reales de tratamiento, fue construyendo confianza poco a poco.
11a	学生時代からの親友であったホセルイスさんは、ベンジャミンさんの熱意に心を動かされました。	学生時代からの親友であったホセルイスさんは、ベンジャミンさんの熱意に心を動かされました。	José Luis, su gran amigo desde la época de estudiante, se conmovió por la pasión de Benjamin.
11b	そして、自分の仕事を続けながら、彼を支えることを決意します。	そして、自分の仕事を続けながら、彼を支えることを決意します。	Y decidió apoyarlo, aun mientras continuaba con su propio trabajo.
12a	しかし、起業してまもなく、パンデミックが世界中を襲います。	しかし、起業してまもなく、パンデミックが世界中を襲います。	Sin embargo, poco después de iniciar el negocio, la pandemia golpeó al mundo entero.
12b	誰もが経験したことのないパニックが広がる中、それでも彼らは諦めませんでした。	誰もが経験したことのないパニックが広がる中、それでも彼らは諦めませんでした。	En medio de una crisis que nadie había vivido antes, ellos no se rindieron.
13a	その努力は、二千二十三年、アムコングループで初となるDUO最大機種、エイチアールはちまるにの受注へとつながります。	その努力は、2023年、アムコングループで初となるDUO最大機種、HR-802の受注へとつながります。	Ese esfuerzo dio fruto en 2023, con el primer pedido dentro del Grupo AMCON del modelo más grande de DUO, el HR-802.
13b	そして翌年の二千二十四年には、メキシコ政府とアメリカ政府の共同による超巨大プロジェクト、サンアントニオ案件において、	そして翌年の2024年には、メキシコ政府とアメリカ政府の共同による超巨大プロジェクト、サンアントニオ案件において、	Al año siguiente, en 2024, dentro del megaproyecto San Antonio, impulsado conjuntamente por los gobiernos de México y Estados Unidos,
13c	エフエスよんまるよんを四台、ブイティーさんまるさんを二台納入することが決まりました。	FS-404を4台、VT-303を2台納入することが決まりました。	se decidió suministrar cuatro unidades FS-404 y dos unidades VT-303.
14a	何もなかった山のうえに、わずか一年間で建設されたこの下水処理場には、世界各国の最新鋭のテクノロジーが集約されています。	何もなかった山の上に、わずか1年間で建設されたこの下水処理場には、世界各国の最新鋭のテクノロジーが集約されています。	Construida en apenas un año sobre una montaña donde antes no había nada, esta planta reúne tecnologías de punta de distintos países.
14b	二千二十五年には、メキシコの大統領クラウディア・シェインバウムさんが訪れ、ネットメディア各社にも大きく取り上げられました。	2025年には、メキシコの大統領クラウディア・シェインバウムさんが訪れ、ネットメディア各社にも大きく取り上げられました。	En 2025, la presidenta de México, Claudia Sheinbaum, la visitó, y fue ampliamente difundida en medios digitales.
14c	二千二十六年後半には、さらに六台のエフエスよんまるよんと三台のブイティーさんまるさんの追加納入を予定しています。	2026年後半には、さらに6台のFS-404と3台のVT-303の追加納入を予定しています。	Para la segunda mitad de 2026, está prevista la entrega adicional de seis unidades FS-404 y tres unidades VT-303.
14d	これにより、イギリスのディアジオプロジェクトを抜き、ヴァルート史上最大の納入台数と処理量を実現します。	これにより、イギリスのディアジオプロジェクトを抜き、VOLUTE史上最大の納入台数と処理量を実現します。	Con ello, superará al proyecto Diageo del Reino Unido y alcanzará la mayor escala en la historia de VOLUTE.
14e	今ではテックプロにも多くの仲間が加わり、十名規模の会社へと成長しました。	今ではテックプロにも多くの仲間が加わり、10名規模の会社へと成長しました。	Hoy, Tecpro cuenta con más compañeros y ha crecido hasta convertirse en una empresa de alrededor de diez personas.
14f	五年余りで、奇跡ともいえる苦労とドラマを経て、年間五億円規模のヴァルートをたった一人で売り上げたベンジャミンさん。	5年余りで、奇跡ともいえる苦労とドラマを経て、年間5億円規模のVOLUTEをたった一人で売り上げたベンジャミンさん。	En poco más de cinco años, tras una historia llena de esfuerzo, Benjamin logró vender por sí solo VOLUTE por una escala anual de 500 millones de yenes.
14g	そのストーリーは、これからも続いていきます。	そのストーリーは、これからも続いていきます。	Su historia continuará.
